overhang=0 fmax=1 | h: len=29 eps=-1 dl=1 k=-11 lo=-11 a=[-1, -1, -1, 1, 1, -1, 1, -1, 1, 1, -3] | h*: len=27 lo=-11 a=[-1, -1, -1, 1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=0 fmax=1 | h: len=27 eps=-1 dl=1 k=-10 lo=-10 a=[-1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=25 lo=-10 a=[-1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=27 eps=-1 dl=1 k=-10 lo=-10 a=[-1, -1, 1, 1, -1, 1, -1, 1, 1, -3] | h*: len=25 lo=-10 a=[-1, -1, 1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=1 fmax=1 | h: len=31 eps=-1 dl=1 k=-9 lo=-9 a=[-1, 1, 1, -1, -1, -1, 1, 5, -1] | h*: len=29 lo=-9 a=[-1, 1, 1, -1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=1 fmax=1 | h: len=31 eps=-1 dl=1 k=-9 lo=-9 a=[-1, 1, 1, 1, -1, -1, 1, 5, -1] | h*: len=29 lo=-9 a=[-1, 1, 1, 1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=0 fmax=1 | h: len=25 eps=-1 dl=1 k=-9 lo=-9 a=[-1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=23 lo=-9 a=[-1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=25 eps=-1 dl=1 k=-9 lo=-9 a=[-1, 1, 1, -1, 1, -1, 1, 1, -3] | h*: len=23 lo=-9 a=[-1, 1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=1 fmax=1 | h: len=29 eps=-1 dl=1 k=-8 lo=-8 a=[-1, 1, -1, -1, -1, 1, 5, -1] | h*: len=27 lo=-8 a=[-1, 1, -1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=1 fmax=1 | h: len=29 eps=-1 dl=1 k=-8 lo=-8 a=[-1, 1, 1, -1, -1, 1, 5, -1] | h*: len=27 lo=-8 a=[-1, 1, 1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=0 fmax=1 | h: len=23 eps=-1 dl=1 k=-8 lo=-8 a=[3, -1, 1, -1, -1, 1, 1, 1] | h*: len=21 lo=-8 a=[-1, 1, -3, -1, -1, 1, 1, 1] | f: lo=-8 [-1]
overhang=0 fmax=1 | h: len=23 eps=-1 dl=1 k=-8 lo=-8 a=[-1, 1, -1, -1, -1, -1, 1, -3] | h*: len=21 lo=-8 a=[-1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=27 eps=-1 dl=1 k=-7 lo=-7 a=[3, -1, -1, 1, 1, 3, 1] | h*: len=25 lo=-7 a=[-1, 1, -1, -1, 1, 1, -1, -4] | f: lo=-7 [-1, 0, 1, 0, -1, -1]
